"Comment,""Designator"",""Footprint"",""LCSC Part #"""
"1uF,""C1,C34,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C23,C22,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33"",""C_0603_1608Metric"",""C513775"""
"10uf,""C2,C4,C5,C7"",""CP_Elec_4x4.5"",""C249787"""
"33uF,""C6"",""C_1206_3216Metric"",""C342633"""
"10nF,""C8,C9,C3,C35"",""C_0603_1608Metric"",""C100042"""
"WS2812B,""D1,D3,D5,D7,D9,D11,D13,D15,D17,D19,D23,D24,D22,D20,D18,D16,D14,D12,D10,D8,D6,D4,D2,D21"",""LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm"",""C114586"""
"Barrel_Jack,""J1"",""BarrelJack_CUI_PJ-102AH_Horizontal"",""C718033"""
"AudioJack4,""J2"",""Jack_3.5mm_PJ320D_Horizontal"",""C521460"""
"USB_B_Micro,""J3"",""USB_Micro-B_Wuerth_614105150721_Vertical"",""C145795"""
"AP55N03K,""Q1"",""TO-252-2"",""C353074"""
"750,""R1,R3"",""R_0603_1608Metric"",""C724881"""
"10k,""R4,R5,R2,R6"",""R_0603_1608Metric"",""C98220"""
"R_POT,""RV1"",""Potentiometer_Bourns_3314G_Vertical"",""C780220"""
"SW_Push,""SW1"",""SW_Push_1P1T_NO_CK_KMR2"",""C72443"""
"Rotary_Encoder_Switch,""SW2"",""RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm"",""C470754"""
"SW_DIP_x04,""SW3"",""SW_DIP_SPSTx04_Slide_6.7x11.72mm_W6.73mm_P2.54mm_LowProfile_JPin"",""C54950"""
"SW_DIP_x01,""SW4"",""SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin"",""C54948"""
"LD29150DT50R,""U2"",""TO-252-2"",""C157411"""
"LD29150DT33R,""U3"",""TO-252-2"",""C155674"""
"MCP6001R,""U4"",""SOT-23-5"",""C154973"""
"ESP32-WROOM-32,""U5"",""ESP32-WROOM-32"",""C82899"""
"CH340B (wrong symbol),""U6"",""SOIC-16_3.9x9.9mm_P1.27mm"",""C81010"""
